day,P,E,obs,state_errors,Q_with_state_errors,Q_no_state_errors,state_S_ts
1972-11-09,0,6.84144017886827,0.2353125,NA,10.5864802764943,NA,NA
1972-11-10,0.501723487872586,4.86488900458126,0.213865740740741,NA,7.84084476688032,NA,-1e+06
1972-11-11,1.55335531522527,5.55994918059733,0.233368055555556,NA,6.20690280315594,NA,-1e+06
1972-11-12,0,5.03912860564988,0.249791666666667,NA,5.10549954654529,NA,-1e+06
1972-11-13,0,5.39820490792681,0.201041666666667,NA,4.31438678417124,NA,-1e+06
1972-11-14,0,5.80517956782275,0.19244212962963,NA,3.72083668243221,NA,-1e+06
1972-11-15,0,5.96497240532597,0.177986111111111,NA,3.2591001790049,NA,-1e+06
1972-11-16,0,6.13711601304733,0.163171296296296,NA,2.89008010805233,NA,-1e+06
1972-11-17,0.213208815292267,5.88349362923707,0.143101851851852,NA,2.58893271367957,NA,-1e+06
1972-11-18,0.0396697562360373,6.11032932057372,0.132476851851852,NA,2.33926223969898,NA,-1e+06
1972-11-19,1.60089324568345,6.47083286118627,0.132708333333333,NA,2.1292454900838,NA,-1e+06
1972-11-20,4.42747135197589,5.86699802451093,0.132951388888889,NA,1.95112139444555,NA,-1e+06
1972-11-21,0.340444179310604,6.37022281956935,0.136168981481481,NA,1.7992549668595,NA,-1e+06
1972-11-22,0.168730986942547,6.62505927285661,0.157962962962963,NA,1.66692643750371,NA,-1e+06
1972-11-23,0.786886071451825,6.70919357591749,0.133564814814815,NA,1.55021928101788,NA,-1e+06
1972-11-24,2.23553749702154,5.20444140257104,0.130590277777778,NA,1.44721422785291,NA,-1e+06
1972-11-25,18.4707259188654,5.40001021802048,0.133252314814815,NA,1.52267261332888,NA,-1e+06
1972-11-26,3.64251851035788,5.90935330244592,0.669074074074074,NA,2.19141165997286,NA,-1e+06
1972-11-27,0.160457255577534,6.10407938974116,0.820231481481482,NA,2.0848087281242,NA,-1e+06
1972-11-28,0,6.40983655762841,0.346030092592593,NA,1.6964436782379,NA,-1e+06
1972-11-29,0,6.50892785596099,0.23650462962963,NA,1.51200769621695,NA,-1e+06
1972-11-30,0,6.62956862835473,0.198576388888889,NA,1.41286769994547,NA,-1e+06
1972-12-01,0,7.31094115441381,0.186365740740741,NA,1.32471942094468,NA,-1e+06
1972-12-02,0,7.68599846855649,0.149479166666667,NA,1.24589722803542,NA,-1e+06
1972-12-03,0,6.43459934678382,0.13337962962963,NA,1.17509638061965,NA,-1e+06
1972-12-04,0.107006745113933,6.49892456401382,0.1275,NA,1.11131579013809,NA,-1e+06
1972-12-05,0,6.73569086019225,0.12255787037037,NA,1.05362442407651,NA,-1e+06
1972-12-06,0,7.15479361730407,0.124953703703704,NA,1.00119159941083,NA,-1e+06
1972-12-07,0.956834250408552,6.86656723099179,0.125659722222222,NA,0.95335231877677,NA,-1e+06
1972-12-08,0,6.82443189251698,0.125914351851852,NA,0.909577789394148,NA,-1e+06
